YORF	alpha_factor_release_sample013	alpha_factor_release_sample014	alpha_factor_release_sample015	alpha_factor_release_sample016	alpha_factor_release_sample017	alpha_factor_release_sample018	alpha_factor_release_sample019	alpha_factor_release_sample020	alpha_factor_release_sample021	alpha_factor_release_sample022	alpha_factor_release_sample023	alpha_factor_release_sample024	alpha_factor_release_sample025	alpha_factor_release_sample026	alpha_factor_release_sample027	alpha_factor_release_sample028	alpha_factor_release_sample029	alpha_factor_release_sample030
YOR125C	0.06	0.05	-0.15	-0.24	-0.14	0.06	0.05	0.01	-0.03	-0.43	-0.26	-0.09	0.07	-0.8	-0.33	-0.35	-0.04	-0.34
YOR126C	0.06	-0.03	-0.18	-0.08	-0.08	-0.27	0.36	-0.81	-0.36	-0.98	-0.25	0.07	-0.33	-0.32	-0.57	-0.63	-0.32	-0.14
YOR127W	0.38	0.39	0.29	-0.23	-0.28	-0.38	-0.14	-0.12	0.3	0.41	0.63	0.18	0.1	-0.94	-0.24	0.07	-0.18	-0.05
YOR128C	-0.43	1.81	0.6	-0.43	-0.73	-0.22	-0.07	-0.23	0.09	-0.07	-0.37	-0.2	-0.52	0.03	-0.05	0.01	-0.14	-0.12
YOL141W	0.17	0.15	-0.79	-1.53	-0.21	-0.42	-0.09	-0.21	0	-0.22	-0.35	-0.26	0	-0.29	-0.39	0.02	-0.11	-0.06
YOR129C	0.52	-0.19	-0.86	0	-0.32	0.05	0.15	0.22	0.41	0.1	-0.21	-0.21	-0.09	-0.49	0.03	0.16	0.16	0.24
YOR130C	1.33	1.19	1.07	0.66	0.32	-0.04	0.14	-0.19	0.03	-0.22	-0.1	-0.16	0.1	-0.14	0.04	-0.04	0.15	0.33
YHR079BC	0.2	0.13	-0.04	-0.04	-0.02	0.27	-0.26	-0.06	0.04	-0.51	0.19	0.13	0.02	-0.04	-0.32	0.29	-0.1	-0.53
YOR131C	0.12	0.04	0.71	0.35	-0.41	-0.45	-0.15	-0.07	-0.12	-0.2	-0.52	-0.02	-0.09	-0.39	-0.05	0.03	-0.05	0.18
YOR132W	0.06	0.42	0.68	0.56	0.31	-0.02	-0.02	-0.34	-0.15	0.09	0.12	0.25	0.2	-0.11	0.01	-0.07	0.19	0.25
YOR133W	0.5	-0.38	0.52	0.16	0.59	-0.03	0.08	0.41	0.4	0.48	1	0.4	0.22	0.34	0.8	0.68	0.3	0.03
YOR134W	1.61	1.16	0.57	0	0.12	-0.04	0.1	-0.4	-0.14	-0.2	-0.5	0.03	-0.5	-0.3	-0.74	-0.54	-0.02	0.75
YOR135C	0.38	0.35	0.37	0.65	1.01	0.77	1.09	0.85	0.77	0.57	0.79	0.38	0.43	0.2	0.63	0.16	0.51	0.11
YOR136W	0.39	0.15	0.57	0	1.13	0.9	1.12	0.64	0.68	0.93	0.59	0.49	0.23	0.14	0.34	0.01	0.08	-0.03
YOR137C	1.1	1.3	0.82	0.58	0.22	0.36	0.65	0.6	0.36	0.18	-0.1	-0.2	0.03	-0.25	0	-0.03	0.64	0.39
YOR138C	-0.3	-0.4	0.13	-0.25	0.08	-0.34	0.14	-0.62	-0.08	0.05	-0.03	0.33	-0.17	-0.02	-0.09	-0.11	-0.24	0.42
YOR139C	-0.16	-0.36	-0.63	-0.63	-0.24	-0.36	-0.17	-0.1	-0.37	-0.29	-0.32	-0.12	-0.12	-0.07	-0.38	-0.12	0.08	0.49
YOR140W	-0.5	-0.51	-0.67	-0.38	-0.34	-0.42	-0.19	-0.82	-0.35	-0.14	-0.33	0.1	-0.44	0	-0.26	-0.1	-0.15	0.37
YHR143BW	-0.36	0.28	-0.67	-0.6	1.38	-0.1	0.08	-0.25	0.01	0.24	-0.18	-0.32	0.02	0.01	-0.55	0.12	-0.55	0.02
YOL140W	0.05	-0.37	-0.85	0	-0.33	0.03	-0.15	-0.29	-0.1	-0.19	-0.12	-0.33	-0.11	0.39	-0.23	-0.34	0.08	0.13
YOR141C	-0.27	-0.65	-0.22	-0.51	-0.08	-0.35	0.11	-0.19	-0.02	-0.09	0.16	0.18	-0.05	-0.03	-0.17	0.13	0.15	0.23
YOR142W	-0.05	0.46	0.27	0.34	-0.04	0.18	-0.02	0.09	-0.12	0	0.05	0.17	-0.03	0.13	-0.11	-0.06	0.04	-0.02
YOR143C	-0.02	0.1	-0.08	-1.34	-0.3	0.02	-0.16	0.09	-0.06	-0.17	-0.32	-0.29	-0.09	-0.29	-0.47	-0.1	-0.04	-0.2
YOR144C	-0.73	-0.25	0.21	0.58	0.06	-0.1	-0.06	-0.84	-0.48	-0.39	0.06	0.72	0.04	0.03	-0.7	-0.25	-0.47	-0.44
YOL139C	0.02	-0.51	-0.23	-0.39	-0.12	-0.41	0.02	-0.3	0.13	-0.21	0.24	-0.29	0.06	-0.34	0.33	-0.22	0.14	-0.19
YOR145C	-0.01	-0.66	-1.03	-0.58	-0.21	0.06	0.1	0.32	0.26	-0.12	-0.41	-0.28	0	-0.39	-0.23	-0.11	0.28	-0.15
YOR146W	-0.12	-1.18	-1.15	-0.43	0	-0.02	-0.03	-0.16	0.08	-0.23	-0.41	-0.12	-0.12	0.32	-0.47	-0.11	-0.12	0.15
YOR147W	0	0.35	-0.49	-1.06	-0.17	-0.24	-0.03	-0.11	0.03	-0.21	-0.27	-0.3	-0.01	-0.2	-0.22	-0.27	-0.1	-0.3
YOR148C	-0.21	0.16	-0.28	-0.1	0	0.11	-0.03	-0.13	-0.13	-0.14	-0.54	0.09	-0.2	0.06	-0.33	-0.08	0	-0.07
YIL017W	1.98	2.45	1.65	2.17	0.94	0	0.86	1.59	1.25	0	1.28	1.43	0	1.46	1.16	1.58	0.83	1.12
YOR149C	0.28	0.06	0.68	0.15	0.33	0.42	0.19	0.19	0.14	-0.27	-0.09	-0.08	0.35	-0.11	0.01	-0.01	0.29	-0.09
YOR150W	-0.07	0.06	-0.04	-0.1	0	0.09	-0.09	-0.03	-0.11	-0.41	-0.3	-0.16	0.09	-0.36	-0.35	-0.23	0.04	-0.24
YOR151C	-0.17	-0.08	-0.58	-0.2	-0.13	-0.08	0.07	-0.22	0.13	-0.12	-0.03	0.09	-0.03	0.08	0.22	0.28	-0.02	0.09
YOL138C	-0.34	-0.26	-0.55	-0.37	-0.76	-0.48	-0.43	-1.14	-0.38	-0.28	-0.58	-0.13	-0.58	0	-0.48	-0.33	-0.52	0.5
YOL164W	0.7	0.41	0.43	-0.18	-0.3	0.13	-0.02	0.17	-0.19	-0.07	-0.32	0.3	-0.04	0.35	-0.91	-0.16	-0.32	0.07
YOR152C	-0.13	0.11	-0.32	-0.55	-0.17	0.32	0.26	0.31	0.04	-0.52	-0.79	-0.88	-0.38	-0.22	-0.18	-0.25	0.21	-0.19
YOR153W	-0.39	-0.71	-0.97	-1.09	-0.66	-0.18	0.1	0.14	0.1	-0.28	-0.36	-0.52	-0.67	-0.44	0.16	0.67	0.18	0.34
YOR154W	0	-0.68	-0.29	-0.09	-0.26	-0.14	-0.04	-0.32	-0.24	-0.07	-0.25	0.03	-0.17	0	-0.46	-0.32	0.09	0.21
YOR155C	0.03	-0.04	0.22	-0.23	-0.14	-0.65	-0.47	-0.68	-0.53	-0.63	-0.17	-0.2	-0.14	-0.65	-0.38	-0.34	-0.14	0.12
YOR156C	-0.31	-0.6	-0.18	-0.44	-0.25	-0.93	-0.35	-0.83	-0.48	-0.48	-0.38	0.12	-0.23	0	-0.1	-0.2	-0.47	0.44
YIL071W	-0.54	-0.05	-0.52	0.01	-0.68	0.02	-0.55	-0.21	-0.35	0.12	-0.47	-0.53	0.02	-0.3	-0.89	-0.24	-0.46	-0.01
YOR157C	-0.01	-0.17	0.16	0.03	0.11	-0.26	0.26	-0.12	0.08	-0.12	0.12	-0.18	-0.08	-0.49	0.08	-0.1	0.12	-0.12
YOR158W	-0.27	-0.34	0.02	-0.37	-0.38	-0.48	0	-0.67	-0.12	-0.07	-0.14	-0.17	-0.18	0	-0.29	-0.56	-0.34	0.29
YOR159C	-0.1	-0.48	-0.16	-0.3	0.03	-0.1	0	-0.16	-0.08	-0.38	-0.21	-0.43	-0.08	-0.36	-0.09	-0.13	0.15	0.13
YOR160W	-0.22	-0.45	-0.41	0	-0.4	-0.59	-0.23	-0.61	-0.34	-0.17	-0.19	-0.19	-0.38	0	-0.45	-0.44	0	0.39
YOR161C	-1.17	0.05	-0.23	-1.47	-1.07	-1.33	-1.04	-1.08	-1.17	-1.3	-1.25	-1.38	-0.98	-1.58	-1	-1.14	-0.59	-0.46
YOR162C	-0.23	-0.41	-0.14	-0.35	-0.04	-0.36	-0.17	-0.11	-0.26	0.06	-0.29	-0.15	-0.54	-0.45	-0.29	-0.25	-0.06	0.55
YOR163W	-0.03	-0.31	-0.09	-0.22	-0.23	-0.12	-0.08	-0.23	-0.17	-0.47	-0.25	-0.32	-0.12	-0.36	-0.05	-0.43	0.07	0.01
YOR164C	-0.03	-0.05	-0.09	-0.18	0.02	-0.12	0.08	-0.21	-0.05	-0.17	-0.17	-0.18	-0.26	-0.46	-0.04	-0.35	0.15	0.1
YOR165W	-0.12	-0.35	-0.1	-0.14	0.16	0.34	0.28	0.17	0.05	-0.11	-0.02	-0.03	-0.07	-0.03	0.16	0.16	0.36	0.15
YOR166C	-0.12	0.03	-0.17	-0.01	-0.16	0.01	0.06	0.04	0.02	-0.32	-0.3	-0.07	-0.1	0.09	-0.36	-0.24	0	0.06
YIL074W	0.17	0.56	0.48	0.11	-0.01	0.39	0.4	0.57	0.59	0.03	0.55	0.06	-0.03	0.07	0.16	0.35	-0.1	0.02
YOR167C	0.41	0.01	-0.06	0.2	0.11	0.14	0.16	0.04	0.22	-0.05	0.3	-0.21	0.34	-0.15	0.49	-0.04	0.5	-0.08
YOR168W	0.08	-0.21	-0.39	-0.2	-0.18	-0.22	-0.08	-0.03	0.2	0.4	0.22	0.28	0.06	0.15	0.01	0.07	-0.14	0.12
YOR169C	0.38	-0.31	-0.33	-0.13	-0.12	0.04	0.05	0.09	0.36	0.12	0.32	0.2	0.26	0.06	0.18	0.14	0.14	0.14
YOR170W	-0.28	0.02	-0.43	-0.14	-0.1	0.08	0.01	0.17	0.19	0.47	-0.08	0.12	-0.06	-0.39	-0.2	-0.15	0	0.05
YOR171C	-0.07	-0.04	-0.52	-0.02	-0.13	0.05	0.2	0.33	0.34	-0.08	0.04	0.04	-0.04	-0.34	-0.12	0.11	0.27	0.1
YOR172W	-0.37	-0.34	-0.4	-0.6	-0.37	-0.11	-0.29	-0.09	-0.14	0.18	-0.03	0.04	-0.3	-0.48	-0.33	0.02	-0.12	0.04
YOL137W	0.49	0.27	0.39	0.41	0.49	0.44	0.3	0.37	0.18	0.28	0.16	0.08	0.23	0.2	0.51	0.31	0.55	0.29
YOR173W	-0.47	0.97	0.49	-0.15	-0.15	-0.4	-0.09	0.1	0.12	-0.44	-0.23	-0.5	-0.34	-0.55	0.1	-0.15	-0.13	-0.35
YOR174W	-0.04	-0.49	-0.34	-0.7	-0.58	0.09	-0.35	-0.53	-0.19	-0.3	-0.25	-0.3	-0.1	-0.5	-0.55	-0.4	-0.31	-0.44
YOR175C	-0.56	-0.72	-0.81	-0.82	-0.62	-0.62	-0.49	-0.66	-0.74	-1.02	-0.59	-0.46	-0.24	-0.43	-0.29	-0.27	-0.5	-0.59
YKL006BC	-0.12	-0.4	-0.05	-0.11	-0.27	-0.16	-0.05	-0.64	-0.26	-0.49	-0.5	-0.26	-0.12	-0.76	-0.41	-0.46	0.02	-0.3
YOR176W	-0.2	0.35	0.08	0.55	0.23	0.36	-0.19	-0.12	-0.64	-0.31	-0.55	-0.05	0.12	-0.22	-0.17	-0.38	-0.19	-0.43
YOR177C	0.35	-0.35	-0.14	-0.34	-0.07	0.03	0.03	0.11	-0.13	-0.14	-0.14	-0.12	-0.02	-0.36	-0.9	0.03	0	-0.08
YOR178C	-0.32	-0.56	-0.54	-0.52	-0.22	-0.53	-0.19	-0.23	-0.31	-0.38	-0.54	-0.27	-0.31	-0.44	-0.3	-0.33	-0.18	0.59
YOR179C	-0.05	-0.61	-0.6	-0.76	-0.07	-0.07	-0.13	-0.21	-0.24	-0.43	-0.34	-0.41	-0.24	-0.17	-0.57	-0.12	0.04	0.22
YOR180C	0.04	0.2	0.08	0.04	0.1	0	0.09	0.12	-0.17	-0.18	-0.38	-0.16	-0.27	-0.22	-0.17	-0.14	0.22	0.52
YOL136C	0.32	0.33	0.61	0.3	0.29	0.17	0.29	-0.38	-0.25	-0.14	-0.48	-0.27	-0.25	0	-0.48	-0.52	-0.2	0.09
YOR181W	0	0.41	0.26	0.2	0.1	0.21	0.12	0.1	-0.12	-0.05	-0.21	-0.1	-0.24	-0.21	-0.1	0.08	0.28	0.02
YOR182C	0.16	0.05	0.07	-0.1	-0.08	0	-0.07	0.13	-0.07	0.04	-0.36	-0.14	-0.13	-0.1	-0.11	-0.13	0.29	0.5
YOR183W	0.1	0.38	-0.82	-1.94	-0.3	0.01	0.07	-0.11	-0.46	-0.49	-0.36	-0.26	-0.28	-0.22	-0.96	-0.17	0.27	0.58
YOR184W	0.09	0.46	0.84	0.51	0.43	0.09	0.38	-0.15	0.38	0.33	0.31	0.12	0.15	-0.1	0.29	0.07	0.36	0.19
YLR337W	0.22	0.14	0.64	0.3	0.43	-0.08	-0.34	0	0.08	-0.12	0.61	0.13	-0.08	0.05	0.4	0.51	-0.39	-0.18
YOR185C	0.29	0.36	0.41	0.28	0.45	0.5	0.32	0.24	0.1	-0.08	0.15	-0.26	0.18	-0.18	0.4	-0.08	0.46	0.11
YOR186W	0.24	0.51	0.48	0.57	0.14	0.62	0.67	0.35	0.15	0.16	-0.02	0.36	0	0.17	-0.09	0.12	0.46	0.63
YOR187W	0.08	0.18	0.42	0.48	0.54	0.82	0.41	0.33	-0.01	-0.15	0.1	-0.03	0.14	-0.12	0.34	-0.06	0.38	-0.19
YOR188W	-0.15	-1.2	-0.59	-0.43	0.17	-0.14	0.24	0.33	-0.2	-0.37	-0.6	-0.14	-0.08	0.03	-0.07	-0.48	-0.04	0.27
YOR189W	-0.02	-0.07	0.12	-0.05	0.15	0.57	0.18	0.22	-0.03	-0.13	-0.03	-0.04	-0.06	-0.18	-0.05	0.02	0.4	0.09
YOR190W	-0.12	0.2	-0.27	-0.43	-0.01	0.32	-0.2	0.01	-0.63	-0.11	-0.35	0.1	0.22	0.03	-0.71	0.2	0.12	-0.24
YOR191W	-0.12	-0.01	-0.52	-0.3	-0.12	-0.35	-0.17	-0.03	0	-0.25	0.24	0.04	0.02	-0.13	0.18	0.21	-0.01	-0.08
YOL135C	-0.28	-0.39	-0.37	-0.3	-0.23	-0.38	-0.14	-0.25	-0.24	-0.36	-0.13	-0.36	-0.11	-0.31	-0.15	-0.18	0.01	0.31
YOR192C	-0.18	-0.08	-0.49	0.06	-0.35	0.06	-0.86	-0.55	-0.48	-0.82	-0.6	-0.4	-0.21	-1.07	-0.49	-0.1	-0.21	-0.24
YOL134C	-0.23	0.04	0.14	0.21	-0.12	-0.38	-0.09	-0.58	-0.23	-0.23	-0.3	-0.15	-0.47	0	-0.49	-0.28	-0.1	0.6
YLR391W	0.39	0.16	-0.04	0.12	0.18	0.07	0.61	0.32	0.55	0.09	0.21	-0.37	0.1	-0.1	0.43	0.31	0.28	0.15
YOL133W	0.12	-0.35	0.02	-0.41	-0.22	-0.71	-0.29	-0.5	-0.11	-0.49	-0.05	-0.54	-0.09	-0.5	-0.3	-0.25	0.08	0.34
YOR193W	0.82	0.67	0.52	0.58	0.18	-0.01	0.04	0.06	0.15	-0.22	-0.11	-0.12	0.18	-0.46	0.04	-0.03	0.03	-0.18
YOR194C	-0.35	0.13	-0.28	0.19	-0.2	0.04	-0.39	-0.16	-0.17	0.18	-0.23	0.2	0	-0.57	-0.39	-0.02	0.03	-0.04
YOR195W	-0.24	-0.24	-0.03	0.66	0.45	0.55	0.23	0.24	-0.34	-0.46	-0.07	0.38	0.19	-0.07	0.13	0.24	-0.22	-0.32
YOL132W	0.03	-0.33	-0.11	-0.4	-0.24	-0.6	-0.29	-0.12	0.41	0.77	0.07	0	-0.34	-0.41	-0.63	-0.49	0.13	0.88
YOR196C	0	0.24	-0.5	-0.4	-0.29	0.08	-0.54	0.12	-0.28	0.01	-0.54	-0.16	-0.05	-0.72	-0.68	-0.18	0.11	-0.24
YOR197W	-0.4	0.43	-1.51	-0.02	0.48	-0.45	-0.14	-0.21	-0.38	-0.44	-0.6	0.15	0.11	-0.69	0.13	-0.09	-0.27	-0.48
YOR198C	0.11	1.12	-0.01	0.51	0.22	0.57	0.21	0.51	0.16	0.44	0.02	0.36	0.07	0.03	0.03	0.1	0.27	0.31
YOR199W	0.12	0.29	-0.09	0.16	0.03	0.3	0.1	0.38	-0.07	-0.07	-0.05	0.01	0.04	-0.23	-0.08	0.06	0.22	-0.06
YOR200W	0	0.27	-0.4	-0.36	0.1	0.2	0.24	0.19	-0.11	0.36	-0.21	-0.08	0.08	-0.13	-0.59	0.04	0	0.01
YML021W	-0.29	-0.15	-0.17	1.46	-0.49	0.34	0.02	-0.04	-0.22	-0.44	0.69	1.25	0.76	0	0.56	1.14	-0.1	0.04
YOR201C	-0.02	1.23	-0.14	-0.29	-0.05	-0.01	0.14	0.08	0.03	-0.09	0.05	-0.13	0.03	-0.26	-0.2	0.09	-0.09	-0.24
YOR202W	0.17	0.68	0.96	0.34	0.2	-0.17	0.19	0.11	0.02	0.03	-0.08	-0.2	-0.05	-0.27	0.01	-0.21	0.14	0.26
YOR203W	-0.04	0.62	0.44	0.2	0.07	0.32	0.03	0.11	-0.22	-0.38	-0.15	-0.44	-0.23	-0.2	-0.06	-0.28	0.3	-0.04
YOR204W	0.07	-1.01	-0.52	-0.56	-0.13	-0.49	0.17	0.02	0.02	-0.13	-0.18	-0.02	0.11	0	0.1	0.14	-0.29	0.01
YOR205C	-0.08	-0.83	-0.33	-0.25	0.09	-0.76	0.22	0.02	-0.21	-0.56	-0.23	-0.42	-0.15	-0.29	-0.14	-0.05	0.12	-0.18
YOR206W	0	-1.47	-1.07	-0.58	-0.24	-0.08	0.05	0.2	0.08	-0.02	-0.2	-0.23	-0.06	-0.49	-0.23	-0.17	-0.14	0.12
YOR207C	0.35	-0.63	-0.48	-0.29	0.25	0.26	0.18	0	0.06	0.06	0.16	0.07	-0.11	0.02	0.07	0.17	0.22	-0.04
YOL131W	-0.03	-0.79	-0.1	-1.65	-0.41	-0.78	0.5	-0.29	-0.4	-1.2	-0.97	-0.94	-0.3	-1.48	0	-0.38	0.07	0.6
YOR208W	0.52	0.12	0.07	0.11	0.01	0.15	0.31	0.11	-0.12	-0.09	-0.24	-0.1	-0.03	-0.25	0.1	-0.04	0.09	0.36
YOR209C	0.5	-0.07	0.2	0.02	0.28	0.29	0.15	-0.11	-0.04	-0.15	0.19	0.09	0.17	0	0.26	-0.05	0.04	-0.21
YMR325C	0.01	-0.2	0	-0.08	-0.09	-0.39	-0.15	-0.45	-0.28	-0.34	-0.22	-0.19	0.07	-0.22	0.08	-0.36	0.07	-0.52
YOR210W	-0.01	-0.06	-0.36	-0.03	-0.13	0.04	-0.07	0.08	0.1	-0.01	-0.1	-0.17	-0.04	-0.36	0.08	-0.18	-1.06	0.27
YOR211C	-0.41	-0.01	-0.31	-0.01	-0.11	-0.1	-0.18	-0.27	0.13	-0.32	-0.07	-0.33	-0.1	-0.23	0.09	-0.14	0.04	0.08
YOR212W	0.32	-0.32	-0.57	-0.51	-0.28	-0.55	-0.31	-0.65	-0.15	-0.13	-0.29	-0.07	-0.12	-0.26	-0.33	-0.3	0.15	-0.04
YOL130W	0.21	-0.1	0.14	0.31	0.55	0.34	0.32	0.03	0.01	0.24	0.19	0.38	-0.15	0.39	0.01	0.26	0	0.48
YOR213C	0.17	-0.52	-0.24	-0.14	0.05	0.31	0.05	-0.06	-0.2	-0.15	-0.16	-0.27	-0.05	-0.19	-0.04	-0.18	0.03	0.15
YOR214C	-0.49	-0.14	-1.47	0	-0.75	-0.27	-0.43	-0.3	-0.57	-0.34	-0.79	-0.38	-0.51	-1.12	0	-0.32	-0.28	-0.2
YOR215C	0.48	0.55	0.29	0.55	-0.39	0.12	-0.28	0.19	-0.06	-0.12	0.07	-0.13	-0.01	-0.17	-0.28	0.13	0.29	-0.11
YOR216C	-0.18	-0.07	-0.35	-0.11	-0.05	0.01	-0.12	-0.01	0.09	0.1	-0.09	0.1	-0.06	-0.16	-0.46	-0.05	-0.15	0.08
YOR217W	-0.1	-0.44	-0.44	-0.15	-0.06	-0.08	0.02	-0.01	0.06	-0.12	0.26	-0.07	-0.19	-0.08	0.05	0.22	0.16	-0.07
YOR218C	-0.2	0.1	-0.5	-0.03	-0.1	0.2	0.03	0.16	-0.03	0.29	-0.18	0.21	-0.11	-0.11	-0.41	-0.06	0.15	0.22
YNL060C	0.02	-0.67	-1.14	-0.54	-0.22	-0.35	0.08	-0.03	0.21	-0.04	0.05	-0.11	0.09	-0.08	-0.1	0.08	-0.1	0.14
YOR219C	0.62	0.73	0.29	0.67	0.38	0.67	0.16	0.56	0.07	0.11	0.21	0.3	0.13	0.21	0.32	0.41	0.55	0.2
YOR220W	1.22	1	0.07	-0.81	-0.38	0.05	-0.01	-0.28	-0.14	-0.32	-0.45	-0.17	-0.3	-1.49	-1.4	-0.42	-0.3	-0.23
YOR221C	0.14	0.01	0.18	-0.04	0.03	0.29	-0.17	0.2	0.08	0	-0.21	-0.27	-0.14	0.06	0.23	0.08	0.52	-0.06
YOR222W	-0.14	0.2	-0.03	0.39	-0.12	0.25	0.03	0.05	0.19	-0.12	-0.28	0.11	0.15	0.02	-0.07	-0.26	0.05	0.11
YOR223W	-0.18	-0.05	-0.29	-0.14	-0.02	0.01	-0.1	-0.02	-0.13	-0.4	-0.16	-0.24	-0.24	-0.35	-0.23	-0.01	0.26	-0.24
YOR224C	0.01	-0.23	-0.83	-0.47	-0.6	-0.25	0	-0.39	0.04	-0.13	-0.25	-0.46	-0.12	-0.46	-0.09	-0.55	-0.23	-0.13
YOR225W	1.18	-0.81	0	0.01	1.49	-0.03	0.65	0	0.19	0	0.79	0	0	0	0	-0.56	0.62	0.58
YOR226C	0.02	-0.19	-0.36	0.24	0	0.2	0.24	0.28	0.23	0.32	0.18	0.19	0.06	0.17	0.47	0.07	-0.31	0.5
YOR227W	-0.53	-0.23	0.36	0.18	0.28	0.4	-0.07	-0.43	-0.41	-0.31	-0.04	-0.05	-0.3	-0.23	0.12	0.02	0.07	0.2
YOR228C	0	0.2	-0.27	-0.18	-0.3	-0.12	-0.29	-0.24	-0.32	-0.26	-0.23	-0.29	-0.39	-0.55	-0.42	-0.33	-0.37	0.28
YOL053C	-0.11	0.33	0.21	-0.02	-0.53	0.03	-0.28	-0.09	-0.11	0.03	-0.42	0.17	-0.03	-0.44	-0.67	-0.04	-0.16	-0.03
YOR229W	0.23	-0.23	-0.57	-1.01	-0.71	-0.34	-0.44	-0.19	0.03	-0.1	0.03	-0.44	-0.35	-0.55	-0.29	-0.47	0.06	0.15
YOR230W	-0.55	-0.2	-0.27	-0.42	-0.81	-1.18	-1.03	-1.26	-1.15	-0.86	-0.62	-0.57	-0.42	-0.71	-0.59	-0.93	-0.65	-0.77
YOR231W	0.22	-0.06	0.29	0.19	0.33	0.58	0.25	0.08	0	-0.16	-0.14	-0.29	-0.14	-0.34	0.25	-0.15	0.48	-0.02
YOR232W	0.03	0.1	0.07	0.1	-0.09	0.18	0.23	0.12	0.04	-0.01	-0.09	-0.17	-0.01	-0.1	0.04	-0.33	0.27	0.14
YOL129W	-0.01	-0.05	0.31	-0.08	0.21	-0.5	0.2	-0.54	-0.07	-0.41	-0.02	-0.49	0.12	-0.54	-0.01	-0.46	-0.09	-0.1
YOR233W	-0.47	-1.11	-0.73	-0.55	0	0.29	0.16	-0.23	-0.27	-0.39	-0.24	-0.35	-0.13	-0.24	0.17	-0.07	0.05	-0.32
YOR234C	-0.07	-0.15	-0.28	-0.16	-0.4	-0.3	-0.08	-0.04	-0.1	0.11	-0.26	-0.34	-0.01	-0.17	0.18	-0.43	0.2	0.23
YOR235W	-0.48	-1.9	-0.57	-1.02	-0.23	-0.1	-0.42	-0.82	-0.4	-0.56	-0.92	0	-0.65	-0.78	-1.74	-0.54	-0.27	0.4
YOR236W	-0.02	-0.6	-0.53	-0.68	-0.27	-0.21	0.03	-0.14	-0.15	-0.36	-0.24	-0.22	-0.06	-0.1	-0.21	-0.29	-0.21	0.22
YOR237W	-0.05	-0.61	-0.06	0.15	0.35	0.57	0.39	0.14	-0.16	-0.2	-0.07	-0.24	-0.05	-0.14	0.25	-0.04	0.03	0.12
YOL074C	-0.17	-0.43	-0.61	-0.43	-0.45	-0.31	-0.41	-0.29	-0.13	-0.29	-0.46	-0.22	-0.2	-0.52	-0.43	-0.15	-0.15	-0.11
YOL128C	0.3	0.07	0.65	0.03	0.48	-0.06	0.31	0.01	-0.07	0.24	0.3	0.47	0.16	0.39	-0.14	-0.28	0.03	0.53
YOR238W	0.71	0.34	0.19	0.21	-0.44	0.23	-0.06	-0.15	-0.34	-0.47	-0.85	-0.6	-0.09	-0.99	-1	-0.36	-0.21	-0.24
YOR239W	0.4	-0.03	0.15	0.09	0.32	0.11	0.37	0.13	0.42	-0.28	0.02	-0.38	-0.15	-0.18	0.35	0.18	0.23	-0.2
YOR240W	0.21	0.19	-0.26	0.15	-0.09	0.41	0.16	0.24	0.16	-0.03	-0.57	-0.25	-0.26	-0.25	-0.02	0.28	0.11	0.25
YOR241W	0.02	1.32	-0.17	-0.1	0.15	-0.03	0.06	-0.06	0.05	-0.15	0.08	-0.18	-0.07	-0.23	0.36	0.23	-0.02	-0.07
YOR242C	-0.14	-0.46	-0.5	-0.35	-0.33	-0.48	-0.07	-0.5	-0.31	-0.34	-0.68	-0.46	-0.18	-1.2	-1.33	-0.23	-0.43	-0.43
YOR243C	0.17	1.1	-0.44	-0.39	-0.03	-0.43	-0.15	-0.19	0.18	-0.18	0.42	0.06	0.09	-0.19	0.11	0.08	-0.21	-0.11
YOR244W	-0.38	-0.65	-0.98	-0.7	-0.83	-0.14	-0.61	-0.5	-0.19	-0.18	-0.39	-0.39	-0.25	-1.66	-0.42	-0.05	-0.32	-0.35
YOR245C	0.16	0.03	0.21	0.62	-0.05	0.21	0.06	-0.05	0	-0.28	0.15	-0.05	-0.05	-0.16	0.07	0.11	-0.04	-0.21
YOR246C	-0.55	-0.74	-0.92	-0.57	-0.16	-0.01	0.23	-0.02	-0.05	-0.48	-0.48	-0.29	0.1	-0.27	0.06	0.07	-0.03	-0.2
YAL025C	0.34	-1.35	-0.43	-0.34	0.04	-0.03	0.12	1.38	0.22	-0.86	0.08	-0.16	0.05	0.07	-0.23	0.08	0.33	0.16
YOR247W	0	-2.5	-1.01	-0.34	0.4	-0.11	0.13	-0.9	-0.78	0	-1.16	-0.89	0.12	-0.07	0.84	0.23	-0.34	-1.2
YOR248W	-1.71	-2.06	-1.12	-0.28	0.04	-0.16	0.12	-0.81	-0.87	0	-1.24	-0.8	0.21	-0.24	0.59	-0.15	-0.34	-0.93
YOR249C	-0.08	-0.39	-0.05	0.1	-0.3	-0.05	-0.3	-0.19	-0.37	0	-0.44	-0.13	-0.19	-0.18	0.09	0	-0.05	-0.21
YOR250C	-0.17	-0.47	-0.18	-0.59	-0.31	-0.42	-0.17	-0.26	-0.23	-0.34	-0.2	-0.45	-0.13	-0.24	-0.11	-0.65	-0.13	0.21
YOR251C	-0.35	-0.65	-0.29	-0.26	0.02	0.39	0.08	-0.42	-0.11	-0.26	-0.06	-0.33	-0.03	-0.42	0.09	-0.28	0.12	-0.15
YOL127W	0.49	0.25	0.12	0	-0.09	0.17	0.14	0.32	0.35	0.27	0.2	-0.03	0.34	-0.05	0.28	0.06	0.29	0.32
